timestamp,xpos,ypos,depth,load,torque,current,voltage,RPM,MSE
12:36:16.033,115.8,2.9,0.0,96.66363,146.13374,7.379135,121.52671,360.0,44360.797
12:36:16.259,115.8,2.9,0.0,71.807274,144.66508,7.379135,120.30534,360.0,43909.566
12:36:16.459,115.8,2.9,0.0,101.49682,146.01793,7.3918576,121.221375,360.0,44326.75
12:36:17.683,115.8,2.9,0.0,98.735,147.46,7.4554706,121.37405,360.0,44763.67
12:36:17.883,115.8,2.9,0.0,68.354996,145.9008,7.40458,120.91603,360.0,44283.715
12:36:17.083,115.8,2.9,0.0,98.735,145.49059,7.328244,121.832054,360.0,44166.125
12:36:17.309,115.8,2.9,0.0,114.615456,143.25339,7.2519083,121.221375,360.0,43490.918
12:36:17.510,115.8,2.9,0.0,100.806366,147.37454,7.40458,122.1374,360.0,44738.21
12:36:18.735,115.8,2.9,0.0,46.260452,146.71808,7.4554706,120.76337,360.0,44526.695
12:36:18.962,115.8,2.9,0.0,48.331814,145.72704,7.442748,120.15268,360.0,44226.465
12:36:18.164,115.8,2.9,0.0,80.09273,145.14873,7.366412,120.91603,360.0,44058.18
12:36:18.389,115.8,2.9,0.0,104.94909,147.71165,7.468193,121.37405,360.0,44841.434
12:36:19.614,115.8,2.9,0.0,117.377266,146.96846,7.468193,120.76337,360.0,44618.746
12:36:19.815,115.8,2.9,0.0,81.47363,145.51527,7.366412,121.221375,360.0,44169.707
